TEAM NAMES,Series Number,Filename,Name,Description,Gender,Attributes,UUID,HASH
,84,ajasco-comedian,ajasco comedian,A newbie comedian.,Male,hair: black; eyes: black; teeth: none; clothing: green shirt; accessories: glasses; expression: bold; strength: optimistic; weakness: unobservant,8bebdb3a-f0a8-47ba-892f-39aa275fbd0d,539073d7184f39c3bcc63bc20a38faa61f0d1689ea65fb3cd9aa138899844fa2
,85,tobi-babyboy,tobi babyboy,A guy who does not like stress.,Male,hair: black; eyes: black; teeth: none; clothing: white shirt; accessories: glasses; expression: friendly; strength: outgoing; weakness: lacks boundaries,3da592d4-5dec-4bc5-8412-f1b2a0269f95,50c34c51074fa6dc53e6b45bf1053e85d5d657d9a8ff924cdf358b7466ea0465
,86,esther-sassy,esther sassy,A rude lady.,Female,hair: brown; eyes: grey; teeth: none; clothing: animal print; accessories: necklace and earrings; expression: bold; strength: confident; weakness: judgemental,0642a25a-966d-446f-b021-a6d18e7fa0c5,e0ca654da458a4f21dc1ebb2a640f801a95b09885964ae645494900b64061544
,87,ozo-fineboi,ozo fineboi,A charming person.,Female,hair: brown; eyes: blue; teeth: none; clothing: aztec print blouse;  accessories: choker and hookah; expression: blank; strength: charismatic; weakness: proud,f2286b4d-fae6-48cb-a686-badec16da1d8,ce67816609f7debaecdfc5f16972e955b52a1078ded876b928fb1ce1826b3773
,88,ade-party-girl,ade party girl,The life of every party.,Female,hair: brown; eyes: blue; teeth: gap-tooth; clothing: one sleeved blue top; accessories: none; expression: scary; strength: adventurous; weakness: impulsive,7e3db30c-9faf-430d-ab48-b854fe0456b9,6874292addb581246643f4dae0336a1810df13d37a13d7d828854068f4f36dd7
,89,john-casco,john casco,A very observant person.,Female,hair: black; eyes: blue; teeth: none; clothing: one-sleeved ankara top; accessories: earrings and necklace;  expression: shocked; strength: unpredictable; weakness: loner,2eff88ef-5bc2-4779-917a-533e952e2953,305670a642f91e5f30e8de8dac9896fd99615c23511f52da06d45430de1071cc
,90,agha-uwa,agha uwa,A woman of high social class.,Female,hair: brown; eyes: blue; teeth: none; clothing: ankara top with strap and full sleeve; accessories: earrings; expression: sad; strength: daring; weakness: loner,8478a002-1eba-4a05-8b98-7170c6e39254,68b6cc64383449e6db4c133c13ec7821187b298dfe4c181b1576074e00c4d244
,91,udeme-great,udeme great,A lady given to adventures.,Female,hair: purple; eyes: black; teeth: none; clothing: ankara top with blue sleeves; accessories: green necklace and green earrings; expression: clueless; strength: decisive; weakness: stubborn,d1476409-6f8b-4be9-8c93-24d9123749c5,e271b9b8886c4426343d95901cb2a9dbb4fb9065a89a86275413b682f7cd206a
,92,femi-tech-bro,femi tech bro,A rookie in the tech industry.,Female,hair: brown; eyes: black; teeth: none; clothing: ankara top with blue suspenders; accessories: green necklace; expression: mischievous; strength: creativity; weakness: procastination,ba3ec22a-13d5-4e19-9b7f-aac764fda28c,d16fbd06d7421f276e523a09a0b69e7e4d917bd064b590ff2f0577bdf82c11c7
,93,sai-baba,sai baba,A leader of a third-world country.,Female,hair: brown; eyes: black; teeth: none; clothing: off-shoulder ankara top; accessories: earrings and necklace; expression: anxious; strength: trend spotter; weakness: distracted easily,fdfff369-5b57-4612-9f89-f5d408f24a35,aa5b2d6dc245338e795449afd5b18d8d56beb14630f055dbad7b67e11302ff93
,94,omo-pastor,omo pastor,A devout christian.,Female,hair: brown; eyes: black; teeth: none; clothing: spaghetti strap ankara top; accessories: green earrings and green necklace; expression: happy; strength: happiness; weakness: too emotional,49e09559-61a6-41ff-811a-272721a7475c,1b9c8c867f33b1c9b4e7274170380bc9a8bcb8037df9289b3ba073c8cdcfaf0f
,95,obi-container,obi container,A rich South-Easterner.,Female,hair: brown; eyes: black; teeth: none; clothing: animal print top; accessories: green necklace; expression: surprised; strength: wealthy; weakness: risk taker,4b64cf48-94fa-4aed-8cf2-452974b48ee3,4f7b5bec745dec8933f1241bb432d2c163fce3d3a2766d08775c80518974da6f
,96,erigga-international,erigga international,Superstar from South-South.,Female,hair: brown; eyes: black; teeth: none; clothing: half ankara; accessories: green necklace and red scrunchie; expression: curious; strength: talented; weakness: overconfident,3ac39a5e-7b0c-4371-b0c8-7cb4b68aed2c,93f864c9a5b7747147d67420b0805e13f246eb5dc12efb26fc635b5c649801df
,97,ayo-web3-bro,ayo web3 bro,Someone with no actual knowledge of basic computer principles.,Female,hair: brown; eyes: blue; teeth: gap tooth; clothing: sleeveless ankara top; accessories: green necklace; expression: terrified; strength: tolerant; weakness: illiterate,c137ec2b-18cd-4c29-a194-af29ac9e6c1c,7f840fccc41362f834bcfbe2bcf64043f2ea5df08f780085baca235cd80027d8
,98,phoebe-queen-bee,phoebe queen bee,A self-centred woman.,Female,hair: brown flowing hair; eyes: blue; teeth: none; clothing: ankara top; accessories: none; expression: blank; strength: attractive; weakness: gullible,1277e9c0-81dc-4747-89df-a9d2ae4fcf96,7c36af6ca2dbd1e84d576324497fb02d50227d3583368dd91c866fa14d3707a4
,99,rachel-warri-babe,rachel warri babe,A highly disciplined woman.,Female,hair: red braids; eyes: white; teeth: none; clothing: yellow danshiki; accessories: none; expression: blank; strength: assertive; weakness: talkative,19e6af3b-ef2d-46ba-ba05-59fb612ebbee,94cc423d4757c2e44dd3a4466b5239a3eb8f1b148d24d6db8f1a48cd07fd1731
,100,adun-preacher,adun preacher,A religious woman.,Female,hair: black short hair; eyes: blue; teeth: none; clothing: blue paisley print blouse; accessories: ankara bonnet and hookah;  expression: blank; strength: bold; weakness: fake,cc4dfedf-c343-48db-ad67-e39452ec2380,65e1651ed3648f33099063885a2408b9039985197d22f3ba0a2ff9efadc3a787
,101,adebola-omo-oba,adebola omo oba,Adebola loves soft life with her fathers wealth.,Female,hair: brown; eyes: opened; teeth: white; clothing: ankara print; accessories:none; expression: staring; strength: bold and outspoken; weakness: pride,fbf43611-f267-4cba-bf4b-a3ffdc122589,6b613f9ebcd68b55a6f3f1ae6767871a5e50799dd25b70f092787eaeeb85b401
,102,chichi-the-dancer,chichi the dancer,Chichi loves dancing and party.,Female,hair: black; eyes: blue-opened; teeth: none; clothing: ankara print; accessories: none; expression: shocked; strength: dancing; weakness: lovergirl,e7c32b06-7022-49b4-bbe5-81e8c1d58583,5b84462c0e39291a4551e6fad77699e76bd36f087a862a36df352db6a07fb46b
,103,hammed-the-farmer,hammed the farmer,Hammed owns a farm with his family.,Male,hair: none; eyes: opened; teeth: none; clothing: brown and cream buba; accessories: nose mask; expression: innocent; strength: farming; weakness: drinking,e57d8985-599e-49da-8d62-fc16b7ac93f2,98576cdc6838bce17d9dca9e267f622ebfb217dbbdab50bc0045a9392ec4d5b0
,104,farida-the-tivlady,farida the tivlady,Farida is a beautiful Tiv woman.,Female,hair: brown; eyes: opened; teeth: none; clothing: ankara print; accessories: lipgloss; expression: cool; strength: cooking; weakness: multitasking,31d3e229-003e-43c8-ba82-38f49cf58ccb,97cdd50aab22a3a4a1dc214f47737709b501fc219feee03baef506245c48d64d
,105,hannah-the-singer,hannah the singer,Hannah loves singing and belongs to choir.,Female,hair: blonde; eyes: opened; teeth: none; clothing: flower print dress; accessories: earrings; expression: angry; strength: singing; weakness: reading,281f5bd7-5282-458b-9811-e369980e7dee,9056a9ed025dfcdbdbd847d75f89a37278dcc18adf0c735abe194cee20b53531
,106,nonso-the-igbogirl,nonso the igbogirl,Nonso is a hardworking Igbo girl.,Female,hair: black; eyes: opened; teeth: none; clothing: leopard print blouse; accessories: none; expression: happy; strength: business; weakness: spending,5cfa76df-8376-4505-af12-78af24f108d6,28ede0fc95cba4e185790ecbc0eacac84adc286a238f7a2ff047b7309204b915
,107,shade-olori,shade olori,Shade loves soft life and makeup.,Female,hair: black; eyes: blue-opened; teeth: none; clothing: ankara print; accessories: none; expression: none; strength: makeup; weakness: sleeping,1a07ca73-d39b-43e9-a0f1-ef9f5e57d3a9,5838b562c46a16973b1f87ec0495b2482270bf10c57b915c060f0595ababca07
,108,quadri-the-teacher,quadri the teacher,Quadri is a devoted teacher that teaches mathematics.,Male,hair: none; eyes: opened; teeth: none; clothing: yellow on blue jean; accessories: nose mask; expression: none; strength: teaching; weakness: talking,d96a93e7-17a4-4efe-b09b-02185cc81ce8,6a7af051c7bf825b60b2f88ce26a71844f969db0f46da2dc9bd4f3dba682da9b
,109,Ifeanyi-the-dj,Ifeanyi the dj,Ifeanyi is a music dj that performs at events.,Male,hair: none; eyes: opened; teeth: opened; clothing: animal print; accessories: red cap; expression: none; strength: mixing songs; weakness: none,030f665d-2cd7-4376-aef5-4030dad9f2d6,e1d52b15f9aa420e6c633f25b8b80c112790dc1ea3365bfcafe5ac7d8553d445
,110,fayo-the-yorubademon,fayo the yorubademon,Fayo is a yoruba demon with excellent communication skills.,Male,hair: bald; eyes: opened; teeth: none; clothing: africa print; accessories: mask; expression: none; strength: determined; weakness: steals,e270e278-a9b5-408d-b527-d518239a997b,a869d91b51f15376c23ccf209c1f4c93985b4d3da27a4d925be43cbbec0dafcb
,111,nkechi-the-actress,nkechi the actress,Nkechi is an international actress that acts in hollywood.,Female,hair: purpule short hair; eyes: opened; teeth: none; clothing: native print; accessories: smoking; expression: rugged; strength: love; weakness: lie,34b1136d-00b1-4f29-8a03-5b02291d47d5,d3f24d740294ae92f67f374f9859056fb20c9613dbc77708098a4048c6b08d6c
,112,hamzat-the-mallam,hamzat the mallam,Hamsat is a mallam doing burea de change for a living.,Male,hair: bald; eyes: opened; teeth: none; clothing: wrapper; accessories: none; expression: straight; strength: traditional; weakness: diabolic,592eff9f-93b2-4452-a2ed-5d44ebc969db,8508ef9dd6dfd84a63e6e534f026b5c233d066514c22fc6aef7ac05fd70553d1
,113,nnena-pretty-girl,nnena pretty girl,Nnena is beautiful girl that loves to talk about her beauty.,Female,hair: brown bob marley; eyes: open; teeth: covered; clothing: african print; accessories: sucker; expression: none; strength: giver; weakness: possesive,d9477612-ad63-408e-8d12-24679c647b32,53f455f2b7959b03ab037ad741232a97ba38f6dcfeaf14f4289d9d05a20094c6
,114,tunde-the-boss,tunde the boss,Tunde is a boss that loves to take charge at work.,Male,hair: capped; eyes: opened; teeth: white; clothing: native cloth; accessories: none; expression: none; strength: cooks well; weakness: bossy,7635c4ee-04f6-4872-bfc9-37e5a73c8fc6,2dab8f21c1df91e5683baf6bd3d28165677ab35e8d6e17e75a2910a4e3009b8b
,115,nnamdi-the-barber,nnamdi the barber,Nnamdi is a barber that devotes time to perfect his craft.,Male,hair: brown afro; eyes: open; teeth: smokey; clothing: africa print; accessories: none; expression: none; strength: determined; weakness: loves clubbing,152758f3-9414-45a2-a809-95cb05a3de13,bc67ea2737c111f9c42801fb4d38aa84c013ee064e09e63f6572698447749a7f
,116,amaka-the-hypepriestess,amaka the hypepriestess,Amaka is can never be intimidated no matter the circumstance. ,Female,hair: black hair; eyes: opened; teeth: open teeth; clothing: africa print; accessories: none; expression: laughing; strength: independent; weakness: insultive,c7726e84-3c5c-4e66-8677-cbfb5c9ee850,d11d7ff323aec63fedb2540fa9052938c316f24bb149d6064831f63f8d227b3e
,117,kemi-foodie,kemi foodie,Kemi loves food and can also prepare good meals. ,Female,hair: black har with scarf; eyes: partly opened; teeth: none; clothing: one hand style; accessories: none; expression: none; strength: can cook very well; weakness: dirtiness,3116cb6f-14c4-4d5a-af57-54253b72a309,310ad502bf888f4b85a5e507c2dc965867cdea3a526268b6b8153bec10c15da2
,118,ada-the-fashionister,ada the fashionister,Ada loves fashion that she rarely repeats cloths.,Female,hair: brown afro; eyes: glasses; teeth: white; clothing: africa print; accessories: none; expression: smiling; strength: successful; weakness: too serious,a14df1c1-7a5a-4a33-8780-0fb01c593da6,b88f345b928b601800fe2352e528af0498476ac97f81abc581d42fd42227aaac
,119,kayode-the-baller,kayode the baller,Kayode loves life and lives it.,Male,hair: bald; eyes: wide opened; teeth: none; clothing: yellow on jeans; accessories: none; expression: none; strength: swaggy; weakness: loves women,fe17bfdc-c251-4654-8313-1ab793e11748,ee303a7415072b6c026c9f6000df2ffa079734e03ccade18cc2f88489a10d474
,120,kola-of-lagos,kola of lagos,Kola is the life of the party everywhere he is.,Male,hair: bald; eyes: opened; teeth: none; clothing: native; accessories: none; expression: none; strength: intelligent; weakness: shy,df295be1-1509-406e-a263-28a5dee0abca,447d071dd3bbdafe509a9e1e90188d3b5fc4b866bcc915edf0010487878cefc0
,121,azikiwe-popular-trader,azikiwe popular trader,Azikiwe is a popular trader.,Male,hair: none; eyes: blue; teeth: none; clothing: purple and yellow; accessories: cap; expression: happy; strength:strong; weakness: shy,7ebde325-8efc-4997-811a-b5686269929e,633d44c49de3f9cf094ef25a571e1b1280d6af79dcc35d9b25af4be259ff7f57
,122,obasanjo-funny-guy,obasanjo funny guy,Obasanjo is such a sweet guy loves by all. ,Male,hair:none ;eyes: black; teeth:small open teeth; clothing: sleeveless yellow ankara; accessories:none; expression: serious face; strength:mild; weakness:anger,c136a120-a339-4080-96ca-1c93845c5848,715c1042af58409030fb1ac4143375b4b9a517b6047e6f9bf6696b2582be70d8
,123,yakubu-village-chief,yakubu village chief,Yakubu is the best village chieftain.,Male,hair:none ;eyes: blue; teeth:open white teeth; clothing: black isiagu; accessories:cap; expression:happy; strength:strong; weakness:impatience,5b0c0d26-d204-4264-b579-081ff9df935b,138e6cd6cfb7bbc23386c8a356c121c0c226657aa90bafd33a17bcd2985fb48c
,124,abacha-loves-smoking,abacha loves smoking,Abacha loves taking cigarettes.,Male,hair:cute braided hair ;eyes: black ball white eye; teeth:none; clothing: mixed colors ankara wear; accessories:none; expression:happy;  strength:strong;  weakness: anger,8ac6d95f-0cf3-4f54-9cf2-be8834b3004c,6581891e43f8e58253f772a34490048f8a525e826b199b1a08cf725eebcd65f4
,125,johnathan-good-leader,johnathan the humanitarian ,Johnathan is very progressive young man.,Male,hair:punk bearded man ;eyes: closed; teeth:none; clothing: white shirt and senator; accessories:cap; expression:bone face; strength:strong; weakness:pride,241e3713-4ce3-48d0-827f-b282ae2db6c4,14239a4511df2fa8ce28e230ddbfa672396d48f801fb78edb017ca23fc68add5
,126,johnathan-genz-kid,johnathan genz kid,Johnathan is zealous young man.,Male,hair:none ;eyes: blue;teeth: white; clothing: yellow ankara wear; accessories: traditional cap; expression:happy; strength:strong; weakness:arrogance,90c0ae09-a35f-42ad-b93c-dcf30169acd9,4e1827b9c5c3ac6f10ab70551133144f0ce73027b6c2cf696106a8a0414802f5
,127,eddy-the-community,eddy the community leader,Eddy has so much positive energy.,Male,hair:none ;eyes: blue; teeth:none; clothing: black isiagu wear; accessories: cap; expression: happy; strength: strong; weakness:emotional,5cabf9d9-882b-459e-9253-8c07eb045e2d,07543c3605c5a42d544154402914804f78985326a121a7748ce0657b012ab198
,128,olu-the-oba,olu the oba,Olu the great ruler in our land.,Male,hair: purple braided hair ;eyes: black; teeth: none; clothing: mixed color traditional wear; accessories: none; expression: serious face; strength:mild; weakness:anger,04c4b28a-aca0-44b1-a064-ed0d9d2a31ca,130091ee61cd71a2bc654890f5c35e84de8747f44d5de22ecf7aff0204088e0f
,129,edu-the-biggest-trader,edu the biggest trader,Edu is the biggest merchant in west coast.,Male,hair:none ;eyes: blue; teeth:closed; clothing: black and yellow collar native wear; accessories:cap; expression:happy; strength:strong; weakness:impatience,48d1de5f-5f3f-46aa-b2fd-68420a8e802b,e390cbe5241bab073f6425830a02c9c272ff926562f9a2946dbdf9e57b453dd9
,130,james-importer-and-exporter,james importer and exporter,James is the sole importer and exporter of spare parts.,Male,hair:none ;eyes: blue; teeth:none; clothing: purple and yellow; accessories:cap; expression:happy; strength:strong; weakness:pride,22541251-022f-480c-8c1e-cf754dce16d6,8bdbec4ccae9e9621c1eefcd7f94f48072081c6482c4996165fc88c41a4739ad
,131,lanre-the-dreaded-guy,lanre the dreaded guy,Lanre has a great reputation.,Male,hair: none ;eyes: none; teeth:white; clothing: ankara; accessories:cap; expression: happy; strength:strong; weakness:anger,66a054cd-5541-4000-98aa-8f2e9892d880,cc35c5d0103407829dad73cde3cb796567e89efcb4dbffe32ff8e6f5c0f1e968
,132,olamide-the-street-boy,olamide the street boy,Olamide has a sweet voice.,Male,hair:none ;eyes: white; teeth: none; clothing: green and blue; accessories: cap; expression: serious face; strength:strong; weakness:stubborn,d50a35b1-b42e-4e0c-8dd8-9b892b56d371,19a154d4e8d2b48facc6a66caed3775e833bbe0582675ca98c2fb11beb22c8f1
,133,uche-peace-loving-man,uche peace loving man,Uche man of peace and discipline.,Male,hair: yellow ;eyes: blue;teeth:none; clothing: yellow; accessories:none; expression:happy; strength:strong; weakness:emotional,6c9d6eae-2ea2-468c-a2c8-928aaafc084b,8446892136ca0d751b6f4d21034616853010dcae58644d432361782018410c21
,134,dave-the-tech-bro,dave the tech bro,Dave is a web3 enthusiast.,Male,hair: none ;eyes: none; teeth:white; clothing: none; accessories:cap; expression: serious face; strength:strong; weakness:none,c0857b11-bf0e-46a4-9108-b8eb93d83e74,0d1b84368b8d9e4f248714c77fc307a59acc4a72401c69d8ca5cdc65658eb481
,135,obi-the-biggest-humanitarian,obi the biggest humanitarian,Obi loves service to humanity.,Male,hair:none ;eyes: blue; teeth:white; clothing: brown; accessories:cap; expression:happy; strength: strong; weakness:none,201a408c-7a2e-42d9-a62c-0136c885c211,7c4de58162bcd094b1c8f913fcbaed0c110ad550a69cb515c4f07de210483195
,136,precious-the-emotional-girl,precious the emotional girl,Precious is soft hearted and sensitive.,Female,hair:none ;eyes: white; teeth: white; clothing: yellow and blue; accessories:cap; expression:angry; strength:strong; weakness:none,b6a41ff1-51ce-42f7-9933-85d0a22ced68,2feb25bd9f2585756ace9d89548a40f7026d9d58ac94859167adfc5264ccb044
,137,ella-serious-minded,ella serious minded,Ella a dedicated young lady.,Female,hair: none ;eyes: white;teeth: white; clothing: black and yellow; accessories:cap; expression:happy; strength:strong; weakness:none,04036447-f43e-4bfb-9503-f55c9064b14e,94628469a59fc7c3ceb6eba042ebbc265c475985412178f1ea435a5743d86586
,138,cynthia-cute-eyes,cynthia cute eyes,Cynthia with priceless cute eyes.,Female,hair:yellow ;eyes: blue;teeth:none; clothing: blue and yellow; accessories: none; expression: serious face; strength: mild; weakness:pride,5d12847b-6d71-4691-8337-2e6ef3e283b2,c1cd9511ce868963b420cbbf1f63d62d411ee1ad5d51295dc6bd2cd1309f963b
,139,mary-with-hair,mary with hair,Mary with her beautiful Afro.,Female,hair: none;eyes: none;teeth:none; clothing: casual ankara; accessories:cap; expression:scared; strength:sensitive; weakness: fearful,98035e8b-6540-4464-8a3c-fdac9f07b168,0a3a7dc0440888ecec160178bb54d91556a12528b50bebd466d5a715c26c3fd2
,140,ada-chewing-bubble-gum,ada chewing bubble gum,Ada always chewing gum.,Female,hair: none;eyes: none;teeth: white; clothing: traditional wear; accessories:cap; expression:sassy; strength:decisive; weakness: insensitive,15309dc5-e483-4658-b503-db85ba2c1722,c06e3dfb7a5fc44062131e3fcf0dc5847b7f576a9dc24b9eb88991ac3c7ada57
,141,viganem-the-drummer-girl,viganem the drummer girl,She is known for typically playing the drum for 5 hours per day without a break.,Female,hair: none; eyes: none; teeth: none; clothing: ankara with drum patterns; accessories: none; expression: sumg; strength: none; weakness: none,5a5a6f5c-39f3-4beb-ab74-60d3c7a90fd4,2748f435837e65c3f080806a45116911b89f492103d4fd618ea4eb9d554c2ec2
,142,lenusuka-the-big-woman,lenusuka the big woman,The lady that loves spending money and buying everybody asaobi.,Female,hair: purple; eyes: none; teeth: none; clothing: black and blue ankara; accessories: none; expression: serious; strength: none; weakness: none,e564a43a-ef77-487d-a88e-749d20a09fd8,ccdaa12bdc36a8d0fb0f5a4f12f00ba998311c0ae9fee00c44d78abbdef1c138
,143,enepua-the-clout-queen,enepua the clout queen,The lady that travels all day and enjoys snapping food at restaurants.,Female,hair: purple; eyes: none; teeth: none; clothing: black ankara with yellow and blue gear pattern; accessories: none; expression: chill; strength: none; weakness: none,6dc7e452-0626-4f4c-a28c-f5db3532e305,3d4948e7c368f6b3597ca373521d7a78f8fd31078be3ac3bd63537ac717db0d2
,144,usifong-queen-of-mushin,usifong queen of mushin,Changes her hair every 2 weeks and cannot finish one pure water.,Female,hair: brown afro; eyes: none; teeth: none; clothing: black ankara with yellow peach and blue gear pattern; accessories: none; expression: unbothered; strength: none; weakness: none,221263d0-8775-49f8-bbf8-4b08b49e1482,42fc99eb9ef9a42ec5ebea5704e358f6789868cc5523d2571f0df3db9bc97799
,145,akinyim-the-clown,akinyim the clown,"The most interesting christmas clown, known for dancing in prisons and hospitals on christmas eve.",Female,hair: burgundy dreadlocks; eyes: none; teeth: none; clothing: kente blouse with asymmetric neckline; accessories: none; expression: off-standish; strength: none; weakness: none,c1070dce-48a1-4ae8-b9a4-d070859a8377,e1fbbfb40556c1cd20993752501b2dbf6a6c6cb155047b44a3677ba42e0d76f9
,146,zawadi-mr-sleep-everywhere,zawadi mr sleep everywhere,Likes sleeping in the weirdest places especially in clubs.,Male,hair: brown; eyes: none; teeth: none; clothing: kente agbada; accessories: none; expression: goofy; strength: none; weakness: none,c22489fe-574b-47f3-9667-c9c798b2d4df,e61e15928f984b365fba5110945173441742327648fc2c7d2c1a7ba2dc83c54b
,147,chepkirui-mr-self-love,chepkirui mr self love,Likes taking care of himself and spending on himself.,Male,hair: burgundy; eyes: none; teeth: none; clothing: black and kente patterned agbada; accessories: none; expression: sleepy; strength: none; weakness:none,1a91e778-d214-476b-a667-94e9ecb8b5ce,9035fe83b78694128a87e2f971c3de546d9f075b0faeb686b7dfa1ed03b16466
,148,naserian-the-fear-fear-dancer,naserian the fear fear dancer,A timid and dancer who is always afraid of a large crowd of audience and yet his dance moves can raise the dead.,Male,hair: face; eyes: none; teeth: none; clothing: yellow and blue ankara; accessories: none; expression: warm; strength: none; weakness: none,8177cf38-8284-4eb4-b19c-04473bcb3b5e,2efd03aeb8e42ce7a9df463a53d790ad4a9b1f5954d44efc39c8da75612f48fe
,149,wawuda-the-ashawo-of-africa,wawuda the ashawo of africa,Brags about his body count and follows skirt anywhere.,Male,hair: blue; eyes: none; teeth: none; clothing: green top with blue overalls; accessories: none; expression: fear; strength: none; weakness: none,0554bf35-f588-4009-aafc-ef875b878c29,e786d5e87ab0dc09c9eb142bf041eac736d7f31431a19ac9fa91dffeabf53b12
,150,kerubo-the-igbo-smoker,kerubo the igbo smoker,Loves only his igbo and is happy when he finds an old blunt.,Male,hair: brown; eyes: none; teeth: none; clothing: brown shirt with dog pattern; accessories: none; expression: smirking strength: none; weakness: none,33ba8e73-7949-4bc7-ba27-37ee1d573946,e89512f473b1205d265278be84147b8fac95116d6811dc25fe2d03a8c228b9f2
,151,rehema-the-olodo,rehema the olodo,Failed primary 5 eight times and like playing football after school.,Male,hair: teal; eyes: none; teeth: none; clothing: purple shirt with yellow accent; accessories: none; expression: euphoric; strength: none; weakness: none,1fb33783-4898-48cf-8a73-f81afc71e1a8,b95c9d67e7f7a4b4b152c4bb19b871342105f938d7fbf4c02055b7ec4b06d438
,152,nekesa-the-brainbox,nekesa the brainbox,A proposed elite who cannot write a simple speech.,Male,hair: black; eyes: none; teeth: none; clothing: monostrap black ankara with yellow and red patterns; accessories: none; expression: playful; strength: none; weakness: none,7ba909bd-19a1-454d-a86c-a45e85cb94a6,33391addeeee05bb40dfc10e14eddfaa73800d5abd76d2d134b21ba001100ade
,153,kiokoli-the-slowrunner,kiokoli the slowrunner,Always running in every race but never making it to the first 5.,Male,hair: black; eyes: none; teeth: none; clothing: maroon agbada with yellow accents; accessories: none; expression: clueless; strength: none; weakness: none,d7027b6c-ae53-4cce-b80d-67aeb7ceb1ba,f0e1cf5b92929316b607d1cafebf0284525ba17db12de4362921c0f9d65840fc
,154,adjuani-uncle-wire-wire,adjuani uncle wire wire,Mugu money spender that loves spending on women extravagantly.,Male,hair: red; eyes: none; teeth: none; clothing: plain and patterned ankara shirt; accessories: none; expression: anxious; strength: none; weakness: none,36cd959f-d280-41f6-af76-765715c72527,267a66b768966f6ae08ec1ab32366958618e0d4bf9d7c4163264d3eb8ea5854a
,155,ajobaru-a-creative-artist,ajobaru a creative artist,A lovely artist who is known for creating magical art pieces that can spark a smile.,Male,hair: black; eyes: none; teeth: none; clothing: yelow kente shirt; accessories: none; expression: cheerful; strength: none; weakness: none,9d262f55-73d7-4b95-9a82-42356dbb085c,5acf719da0ccd89e3d686514eb6a6bb8f7a97b4df92a9a2b492941a7512ed7e7
,156,effiadem-the-fireman,effiadem the fireman,A retired military general who always loves shooting at sight.,Male,hair: brown; eyes: none; teeth: none; clothing: black and kente agbada; accessories: none; expression: high; strength: none; weakness: none,a4534fe0-b5ed-41ab-af72-1f2d0ff0fc64,eb67ca5d59154ae19db78cfe05185d84f4334f6aae0425cb8209fae36150b9cc
,157,deladem-the-commandoo,deladem the commandoo,The nerd who has watched all war movies but cannot fight a kid.,Male,hair: burgundy; eyes: none; teeth: none; clothing: black and kente agbada; accessories: none; expression: none; strength: none; weakness: none,88106b92-da30-46ad-a3cc-d528683b9e33,261e314e36f1e48c8b26a13fdaf331a8c5739e12c10c9afbf963c01ddf5e4cc5
,158,dogbeda-the-monger,dogbeda the monger,A fisherman who pracitically live in the river.,Male,hair: orange;  eyes: none; teeth: none; clothing: orange and blue denim; accessories: none; expression: unbothered; strength: none; weakness: none,66a09968-cb92-4378-a588-49947f68c537,fd2bb9a378b5a440e8bd19e008596e884881fa73336187eded7b28320fee3d77
,159,enyonyam-our-slay-mama,enyonyam our slay mama,Posts new pictures everyday and can snub for africa.,Male,hair: blue; eyes: none; teeth: none; clothing: green top with overall; accessories: none; expression: none; strength:none; weakness: none,5e7c7f9d-d631-4759-9b27-cbaccd33d39f,9c25c72f8b07c5c9c9668cbb19ec58dddb17e30479937a138effc6806c096167
,160,lumusi-pro-technician,lumusi pro technician,The electrician well known for wiring burnt buildings.,Male,hair: red; eyes: none; teeth: none; clothing: white top with blue overalls; accessories: none; expression: high; strength: none; weakness: none,b07676a6-c611-410d-8426-46c9c525189a,cd5243e8076d35d28575cbaceeae30587fddd943f4925f2db614aadfdb473689
,161,funmi-the-fashionist,funmi the fashionist,Funmi enjoys fashion and she always takes opportunity to showcase her wardrobe.,Female,hair: black hair; eyes: none; teeth: none; clothing: aso oke; expression: cool; accessories: head tye and eye glasses; strength: fashion; weakness: men,4f9d99a4-78a2-4fdd-bc30-b027600fa88e,8f063c353dfb74ea4cf23b5c96287214d60630dad04a0d0c604a45e650127847
,162,bola-the-funky,bola the funky,Bola is a funky fellow but she has another personality no one knows.,Female,hair: purple shuku; eyes: none; teeth: none; clothing: adire top; expression: neutral; accessories: eye glasses; strength: caring; weakness: snake,ac721b71-cbc5-425c-851f-ee826973f0b9,ea9baf947f6613aeeb0e4ffb03a57f16cf28932b21d6a0a5a41b9ee31110cca4
,163,bimpe-the-runzgirl,bimpe the runzgirl,Be careful with Bimpe because she cac be sensitive.,Female,hair: purple dreadlock; eyes: none; teeth: none; clothing: one arm ankara; expression: mischievious; accessories: eye glasses; strength: humanitarian; weakness: opposite sex,eaa7662f-6926-468a-9add-e791916ae42b,38b636fdd32a6e90c56c6f324706d0860ddb0da14533f1fe42b1d16f9259dc11
,164,sola-the-queen,sola the queen,Sola is a princess as she's got the mind of a queen.,Female,hair: brown long hair; eyes: none; teeth: none; clothing: blouse top; expression: cool; accessories: eye glasses; strength: Strong character; weakness: beauty,d5f23ad3-832a-4d3e-814e-e23f466d18a4,33c42277eae67b05d21fa106e25a84f5251c4f03b82527c8835dc0bd6656602d
